Subject,Category,Subcategory,Popular,Promua,Picture,Keywords,Description
Личные потребности,Юридические услуги,Апостиль,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/legal.jpg,"",""
Личные потребности,Юридические услуги,Нотариальное заверение,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/legal.jpg,"",""
Личные потребности,Юридические услуги,Легализация документов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/legal.jpg,"",""
Личные потребности,Юридические услуги,Нострификация документов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/legal.jpg,"",""
Потребности бизнеса,Техническое обслуживание,Услуги 3d сканирование,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/technicalservice.jpg,"3 d model,3d моделирование,3d визуализация,3d визуализация объектов,3d визуализация проектов,3d дизайн,3d модели,визуализация 3d",""
Ремонт и строительство,Стены и потолок,Гидроизоляция,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/walls.jpg,"Гидроизоляция для стен,Гидроизоляция квартиры,Гидроизоляция пола,Гидроизоляция потолка,Гидроизоляция стен,Гидроизоляция стен и потолков,Гидроизоляция шумоизоляция",""
Ремонт и строительство,Двери и окна,Ремонт металлических дверей,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"Услуги по ремонту алюминиевых окон и дверей,услуги по регулировке алюминиевых окон и дверей,ремонт алюминиевых окон и дверей,ремонт алюминиевых фасадов и витражей,ремонт алюминиевых окон,ремонт алюминиевых дверей,регулировка алюминиевых дверей,регулировка ремонт алюминиевых окон,регулировка алюминиевых окон,фурнитура для раздвижных окон,регулировка алюминиевых раздвижных окон,металлопластиковых,металл",""
Ремонт и строительство,Двери и окна,Установка металлических дверей,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"Услуги по ремонту алюминиевых окон и дверей,услуги по регулировке алюминиевых окон и дверей,ремонт алюминиевых окон и дверей,ремонт алюминиевых фасадов и витражей,ремонт алюминиевых окон,ремонт алюминиевых дверей,регулировка алюминиевых дверей,регулировка ремонт алюминиевых окон,регулировка алюминиевых окон,фурнитура для раздвижных окон,регулировка алюминиевых раздвижных окон,металлопластиковых,металл",""
Транспортировка,Транспортное средство,Аренда автобуса,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"Аренда транспорта с водителем для деловых поездок и мероприятий,Корпоративная аренда автобусов с водителем,Заказ Автобуса,Аренда авто или микроавтобуса на свадьбу,Заказ автобуса на свадьбу,Аренда микроавтобусов на свадьбу,Аренда авто на свадьбу",""
Ремонт и строительство,Кровельные работы,Водоснабжение,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/roofing.jpg,"Водоснабжение квартиры,Водоснабжение дома,Водоснабжение зданий,Водоснабжение дачи",""
Личные потребности,Ремесла,Покраска кожи,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/crafts.jpg,"покраска кожаных изделий,обновление кожи",""
Уборка,Услуги уборки,Клининговые  услуги,true,true,https://d12gbqriwgmg5d.cloudfront.net/categories/cleaning.jpg,"Профессиональная уборка квартир,генеральная уборка,комплексная уборка,ежедневная уборка,контрактная уборка,уборка зданий",""
Ремонт и строительство,Строительство,Чистка бассейна,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/construction.jpg,"Бетонные бассейны,бетонный бассейн,водные аттракционы,мозаика для бассейнов,немецкие сборные бассейны,стекловолоконные бассейны,стеклянные бассейны,строительство бассейна,строительство бассейнов",""
Потребности бизнеса,Печать,Печать на одежде,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/printing.jpg,Печать на футболках ,""
Ремонт и строительство,Двери и окна,Тонирование окон,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"",""
Организация,Мероприятия,Праздничное открытие торговых точек,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/events.jpg,"Праздничное,открытие,торговых,точек",""
Потребности бизнеса,Бизнес услуги,Дегустация рекламируемого продукта,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg,"просо дегустации,Акции для потребителей,Промоутеры с мегафонами,Семплинг,Промо консультация,Имиджевые акции,Расклейка объявлений,Доставка рекламных материалов по почтовым ящикам/в двери,Доставка рекламных материалов
",""
Личные потребности,Здоровья,Логопед,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/health.jpg,Лечебный детский массаж,""
Потребности бизнеса,Печать,Гидроабразивная резка,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/printing.jpg,"",""
Ремонт и строительство,Двери и окна,Установка распашных дверей,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"",""
Ремонт и строительство,Двери и окна,Ремонт распашных дверей,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"",""
Уроки,Уроки иностранных языков,Подготовка к международным экзаменам,true,true,https://d12gbqriwgmg5d.cloudfront.net/categories/foreignlang.jpg,"Подготовка к IELTS,Подготовка к TOEFL,Подготовка к FCE,Подготовка KET,Подготовка к  PET",""
Ремонт и строительство,Техника для дома и помещений,Установка гаражных ворот,false,false,,"",""
Транспортировка,Транспортное средство,Диагностика системы зажигания,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Транспортировка,Транспортное средство,Диагностика системы топливоподачи,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Транспортировка,Транспортное средство,Чип-тюнинг,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Уроки,Дополнительное образование,Корпоративные тренинги,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"",""
Транспортировка,Переезд и хранение,Занос мебели,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/moving.jpg, ,""
Потребности бизнеса,Бизнес услуги,Аренда квартир,false,false,,"",""
Личные потребности,Инспекция,Гигиенический сертификат,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Инспекция,Декларация ЕС,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Инспекция,Декларация соответствия,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Инспекция,Европейская сертификация CE,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Инспекция,Сертификат ISO 9001,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Инспекция,Сертификация транспортных средств,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Инспекция,Сертификаты Таможенного союза,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Инспекция,Лицензия на туроператорскую деятельность,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Инспекция,Сертификация пищевой продукции,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"НАССР,пищевая отрасль",""
Личные потребности,Инспекция,СЕ маркировка,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,сертификат СЕ,""
Ремонт и строительство,Сантехника,Установка водонагревателей,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/plumbing.jpg,"",""
Ремонт и строительство,Сантехника,Ремонт водонагревателей,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/plumbing.jpg,"",""
Транспортировка,Транспортное средство,Регулировка фар автомобиля,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Личные потребности,Здоровья,Обертывание,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/health.jpg,Лечебный  массаж,""
Личные потребности,Здоровья,Отбеливание зубов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/health.jpg,Ультразвуковая чистка зубов,""
Личные потребности,Инспекция,Оценка машин и оборудования,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Инспекция,Оценка транспорта,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Консалтинг,Турагенство,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/consulting.jpg, ,""
Потребности бизнеса,Печать,Печать визиток,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/printing.jpg,"Дизайн визитной карточки,заказать разработку дизайна визитки,визитки онлайн",""
